Path,Category,FieldID,Field,Field_zh,Notes_zh,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link,Data
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131448,Date J14 first reported (pneumonia due to haemophilus influenzae),J14首次报告日期（流感嗜血杆菌性肺炎）,映射到3位ICD10编码J14的任何代码首次出现的日期。该编码对应'流感嗜血杆菌性肺炎'。注意：构建此数据字段时，明显早于出生日期的事件已被省略。编码819定义了6个特殊值（同字段131434说明）。,281.0,281.0,Ongoing,Date,,Data,Derived,Both sexes,Singular,No,819.0,"Date of the first occurrence of any code mapped to 3-character ICD10 J14. The code corresponds to ""pneumonia due to haemophilus influenzae"". Note that events which were apparently before birth were omitted when constructing this data field. Coding 819 defines 6 special values: 1900-01-01 represents ""Code has no event date"" 1901-01-01 represents ""Code has event date before participant's date of birth"" 1902-02-02 represents ""Code has event date matching participant's date of birth"" 1903-03-03 represents ""Code has event date after participant's date of birth and falls in the same calendar year as date of birth"" 1909-09-09 represents ""Code has event date in the future and is presumed to be a place-holder or other system default"" 2037-07-07 represents ""Code has event date in the future and is presumed to be a place-holder or other system default""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131448,"281 items of data are available, covering 281 participants.Some values have special meanings defined by Data-Coding 819."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131449,Source of report of J14 (pneumonia due to haemophilus influenzae),J14（流感嗜血杆菌性肺炎）的报告来源,映射到3位ICD10编码J14的第一个代码的来源，以及该代码是否出现在其他来源中（相同或更晚的事件日期）。该编码对应'流感嗜血杆菌性肺炎'。关于如何分配第一个来源的详细信息，请参见资源593。,281.0,281.0,Ongoing,Categorical single,,Data,Derived,Both sexes,Singular,No,2171.0,"Source of the first code mapped to 3-character ICD10 J14, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""pneumonia due to haemophilus influenzae"". See Resource 593 for details of how the first source was assigned.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131449,"281 items of data are available, covering 281 participants, encoded using Data-Coding 2171."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131450,"Date J15 first reported (bacterial pneumonia, not elsewhere classified)",J15首次报告日期（未归类于他处的细菌性肺炎）,映射到3位ICD10编码J15的任何代码首次出现的日期。该编码对应'未归类于他处的细菌性肺炎'。注意：构建此数据字段时，明显早于出生日期的事件已被省略。编码819定义了6个特殊值（同字段131434说明）。,1767.0,1767.0,Ongoing,Date,,Data,Derived,Both sexes,Singular,No,819.0,"Date of the first occurrence of any code mapped to 3-character ICD10 J15. The code corresponds to ""bacterial pneumonia, not elsewhere classified"". Note that events which were apparently before birth were omitted when constructing this data field. Coding 819 defines 6 special values: 1900-01-01 represents ""Code has no event date"" 1901-01-01 represents ""Code has event date before participant's date of birth"" 1902-02-02 represents ""Code has event date matching participant's date of birth"" 1903-03-03 represents ""Code has event date after participant's date of birth and falls in the same calendar year as date of birth"" 1909-09-09 represents ""Code has event date in the future and is presumed to be a place-holder or other system default"" 2037-07-07 represents ""Code has event date in the future and is presumed to be a place-holder or other system default""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131450,"1,767 items of data are available, covering 1,767 participants.Some values have special meanings defined by Data-Coding 819."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131451,"Source of report of J15 (bacterial pneumonia, not elsewhere classified)",J15（未归类于他处的细菌性肺炎）的报告来源,映射到3位ICD10编码J15的第一个代码的来源，以及该代码是否出现在其他来源中（相同或更晚的事件日期）。该编码对应'未归类于他处的细菌性肺炎'。关于如何分配第一个来源的详细信息，请参见资源593。,1767.0,1767.0,Ongoing,Categorical single,,Data,Derived,Both sexes,Singular,No,2171.0,"Source of the first code mapped to 3-character ICD10 J15, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""bacterial pneumonia, not elsewhere classified"". See Resource 593 for details of how the first source was assigned.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131451,"1,767 items of data are available, covering 1,767 participants, encoded using Data-Coding 2171."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131452,"Date J16 first reported (pneumonia due to other infectious organisms, not elsewhere classified)",J16首次报告日期（未归类于他处的其他传染性病原体引起的肺炎）,映射到3位ICD10编码J16的任何代码首次出现的日期。该编码对应'未归类于他处的其他传染性病原体引起的肺炎'。注意：构建此数据字段时，明显早于出生日期的事件已被省略。编码819定义了6个特殊值（同字段131434说明）。,98.0,98.0,Ongoing,Date,,Data,Derived,Both sexes,Singular,No,819.0,"Date of the first occurrence of any code mapped to 3-character ICD10 J16. The code corresponds to ""pneumonia due to other infectious organisms, not elsewhere classified"". Note that events which were apparently before birth were omitted when constructing this data field. Coding 819 defines 6 special values: 1900-01-01 represents ""Code has no event date"" 1901-01-01 represents ""Code has event date before participant's date of birth"" 1902-02-02 represents ""Code has event date matching participant's date of birth"" 1903-03-03 represents ""Code has event date after participant's date of birth and falls in the same calendar year as date of birth"" 1909-09-09 represents ""Code has event date in the future and is presumed to be a place-holder or other system default"" 2037-07-07 represents ""Code has event date in the future and is presumed to be a place-holder or other system default""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131452,"98 items of data are available, covering 98 participants.Some values have special meanings defined by Data-Coding 819."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131453,"Source of report of J16 (pneumonia due to other infectious organisms, not elsewhere classified)",J16（其他传染性病原体引起的肺炎，不可归类在他处者）的报告来源,首次映射到3位ICD10编码J16的来源，以及该编码是否出现在其他相同或更晚事件日期的来源中。该编码对应'其他传染性病原体引起的肺炎，不可归类在他处者'。关于首次来源分配方式的详细信息请参阅资源593。,98.0,98.0,Ongoing,Categorical single,,Data,Derived,Both sexes,Singular,No,2171.0,"Source of the first code mapped to 3-character ICD10 J16, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""pneumonia due to other infectious organisms, not elsewhere classified"". See Resource 593 for details of how the first source was assigned.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131453,"98 items of data are available, covering 98 participants, encoded using Data-Coding 2171."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131454,Date J17 first reported (pneumonia in diseases classified elsewhere),J17（分类于他处的疾病引起的肺炎）首次报告日期,首次出现映射到3位ICD10编码J17的日期。该编码对应'分类于他处的疾病引起的肺炎'。注意：构建此数据字段时，明显早于出生日期的事件已被省略。编码819定义了6个特殊值（含义同字段130272）。,429.0,429.0,Ongoing,Date,,Data,Derived,Both sexes,Singular,No,819.0,"Date of the first occurrence of any code mapped to 3-character ICD10 J17. The code corresponds to ""pneumonia in diseases classified elsewhere"". Note that events which were apparently before birth were omitted when constructing this data field. Coding 819 defines 6 special values: 1900-01-01 represents ""Code has no event date"" 1901-01-01 represents ""Code has event date before participant's date of birth"" 1902-02-02 represents ""Code has event date matching participant's date of birth"" 1903-03-03 represents ""Code has event date after participant's date of birth and falls in the same calendar year as date of birth"" 1909-09-09 represents ""Code has event date in the future and is presumed to be a place-holder or other system default"" 2037-07-07 represents ""Code has event date in the future and is presumed to be a place-holder or other system default""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131454,"429 items of data are available, covering 429 participants.Some values have special meanings defined by Data-Coding 819."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131455,Source of report of J17 (pneumonia in diseases classified elsewhere),J17（分类于他处的疾病引起的肺炎）的报告来源,首次映射到3位ICD10编码J17的来源，以及该编码是否出现在其他相同或更晚事件日期的来源中。该编码对应'分类于他处的疾病引起的肺炎'。关于首次来源分配方式的详细信息请参阅资源593。,429.0,429.0,Ongoing,Categorical single,,Data,Derived,Both sexes,Singular,No,2171.0,"Source of the first code mapped to 3-character ICD10 J17, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""pneumonia in diseases classified elsewhere"". See Resource 593 for details of how the first source was assigned.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131455,"429 items of data are available, covering 429 participants, encoded using Data-Coding 2171."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131456,"Date J18 first reported (pneumonia, organism unspecified)",J18（病原体未特指的肺炎）首次报告日期,首次出现映射到3位ICD10编码J18的日期。该编码对应'病原体未特指的肺炎'。注意：构建此数据字段时，明显早于出生日期的事件已被省略。编码819定义了6个特殊值（含义同字段130272）。,42208.0,42208.0,Ongoing,Date,,Data,Derived,Both sexes,Singular,No,819.0,"Date of the first occurrence of any code mapped to 3-character ICD10 J18. The code corresponds to ""pneumonia, organism unspecified"". Note that events which were apparently before birth were omitted when constructing this data field. Coding 819 defines 6 special values: 1900-01-01 represents ""Code has no event date"" 1901-01-01 represents ""Code has event date before participant's date of birth"" 1902-02-02 represents ""Code has event date matching participant's date of birth"" 1903-03-03 represents ""Code has event date after participant's date of birth and falls in the same calendar year as date of birth"" 1909-09-09 represents ""Code has event date in the future and is presumed to be a place-holder or other system default"" 2037-07-07 represents ""Code has event date in the future and is presumed to be a place-holder or other system default""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131456,"42,208 items of data are available, covering 42,208 participants.Some values have special meanings defined by Data-Coding 819."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131457,"Source of report of J18 (pneumonia, organism unspecified)",J18（病原体未特指的肺炎）的报告来源,首次映射到3位ICD10编码J18的来源，以及该编码是否出现在其他相同或更晚事件日期的来源中。该编码对应'病原体未特指的肺炎'。关于首次来源分配方式的详细信息请参阅资源593。,42208.0,42208.0,Ongoing,Categorical single,,Data,Derived,Both sexes,Singular,No,2171.0,"Source of the first code mapped to 3-character ICD10 J18, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""pneumonia, organism unspecified"". See Resource 593 for details of how the first source was assigned.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131457,"42,208 items of data are available, covering 42,208 participants, encoded using Data-Coding 2171."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131458,Date J20 first reported (acute bronchitis),J20（急性支气管炎）首次报告日期,首次出现映射到3位ICD10编码J20的日期。该编码对应'急性支气管炎'。注意：构建此数据字段时，明显早于出生日期的事件已被省略。编码819定义了6个特殊值（含义同字段130272）。,5538.0,5538.0,Ongoing,Date,,Data,Derived,Both sexes,Singular,No,819.0,"Date of the first occurrence of any code mapped to 3-character ICD10 J20. The code corresponds to ""acute bronchitis"". Note that events which were apparently before birth were omitted when constructing this data field. Coding 819 defines 6 special values: 1900-01-01 represents ""Code has no event date"" 1901-01-01 represents ""Code has event date before participant's date of birth"" 1902-02-02 represents ""Code has event date matching participant's date of birth"" 1903-03-03 represents ""Code has event date after participant's date of birth and falls in the same calendar year as date of birth"" 1909-09-09 represents ""Code has event date in the future and is presumed to be a place-holder or other system default"" 2037-07-07 represents ""Code has event date in the future and is presumed to be a place-holder or other system default""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131458,"5,538 items of data are available, covering 5,538 participants.Some values have special meanings defined by Data-Coding 819."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131459,Source of report of J20 (acute bronchitis),J20（急性支气管炎）的报告来源,首次映射到3位ICD10编码J20的来源，以及该编码是否出现在其他相同或更晚事件日期的来源中。该编码对应'急性支气管炎'。关于首次来源分配方式的详细信息请参阅资源593。,5538.0,5538.0,Ongoing,Categorical single,,Data,Derived,Both sexes,Singular,No,2171.0,"Source of the first code mapped to 3-character ICD10 J20, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""acute bronchitis"". See Resource 593 for details of how the first source was assigned.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131459,"5,538 items of data are available, covering 5,538 participants, encoded using Data-Coding 2171."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131460,Date J21 first reported (acute bronchiolitis),J21（急性细支气管炎）首次报告日期,首次出现映射到3位ICD10编码J21的日期。该编码对应'急性细支气管炎'。注意：构建此数据字段时，明显早于出生日期的事件已被省略。编码819定义了6个特殊值（含义同字段130272）。,186.0,186.0,Ongoing,Date,,Data,Derived,Both sexes,Singular,No,819.0,"Date of the first occurrence of any code mapped to 3-character ICD10 J21. The code corresponds to ""acute bronchiolitis"". Note that events which were apparently before birth were omitted when constructing this data field. Coding 819 defines 6 special values: 1900-01-01 represents ""Code has no event date"" 1901-01-01 represents ""Code has event date before participant's date of birth"" 1902-02-02 represents ""Code has event date matching participant's date of birth"" 1903-03-03 represents ""Code has event date after participant's date of birth and falls in the same calendar year as date of birth"" 1909-09-09 represents ""Code has event date in the future and is presumed to be a place-holder or other system default"" 2037-07-07 represents ""Code has event date in the future and is presumed to be a place-holder or other system default""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131460,"186 items of data are available, covering 186 participants.Some values have special meanings defined by Data-Coding 819."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131461,Source of report of J21 (acute bronchiolitis),J21（急性细支气管炎）的报告来源,首次映射到3位ICD10编码J21的来源，以及该编码是否出现在其他相同或更晚事件日期的来源中。该编码对应'急性细支气管炎'。关于首次来源分配方式的详细信息请参阅资源593。,186.0,186.0,Ongoing,Categorical single,,Data,Derived,Both sexes,Singular,No,2171.0,"Source of the first code mapped to 3-character ICD10 J21, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""acute bronchiolitis"". See Resource 593 for details of how the first source was assigned.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131461,"186 items of data are available, covering 186 participants, encoded using Data-Coding 2171."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131462,Date J22 first reported (unspecified acute lower respiratory infection),J22（未特指的急性下呼吸道感染）首次报告日期,首次出现映射到3位ICD10编码J22的日期。该编码对应'未特指的急性下呼吸道感染'。注意：构建此数据字段时，明显早于出生日期的事件已被省略。编码819定义了6个特殊值（含义同字段130272）。,66347.0,66347.0,Ongoing,Date,,Data,Derived,Both sexes,Singular,No,819.0,"Date of the first occurrence of any code mapped to 3-character ICD10 J22. The code corresponds to ""unspecified acute lower respiratory infection"". Note that events which were apparently before birth were omitted when constructing this data field. Coding 819 defines 6 special values: 1900-01-01 represents ""Code has no event date"" 1901-01-01 represents ""Code has event date before participant's date of birth"" 1902-02-02 represents ""Code has event date matching participant's date of birth"" 1903-03-03 represents ""Code has event date after participant's date of birth and falls in the same calendar year as date of birth"" 1909-09-09 represents ""Code has event date in the future and is presumed to be a place-holder or other system default"" 2037-07-07 represents ""Code has event date in the future and is presumed to be a place-holder or other system default""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131462,"66,347 items of data are available, covering 66,347 participants.Some values have special meanings defined by Data-Coding 819."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131463,Source of report of J22 (unspecified acute lower respiratory infection),J22（未特指的急性下呼吸道感染）的报告来源,首次映射到3位ICD10编码J22的来源，以及该编码是否出现在其他相同或更晚事件日期的来源中。该编码对应'未特指的急性下呼吸道感染'。关于首次来源分配方式的详细信息请参阅资源593。,66347.0,66347.0,Ongoing,Categorical single,,Data,Derived,Both sexes,Singular,No,2171.0,"Source of the first code mapped to 3-character ICD10 J22, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""unspecified acute lower respiratory infection"". See Resource 593 for details of how the first source was assigned.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131463,"66,347 items of data are available, covering 66,347 participants, encoded using Data-Coding 2171."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131464,Date J30 first reported (vasomotor and allergic rhinitis),J30（血管舒缩性和变应性鼻炎）首次报告日期,首次出现映射到3位ICD10编码J30的日期。该编码对应'血管舒缩性和变应性鼻炎'。注意：构建此数据字段时，明显早于出生日期的事件已被省略。编码819定义了6个特殊值（含义同字段130272）。,53238.0,53238.0,Ongoing,Date,,Data,Derived,Both sexes,Singular,No,819.0,"Date of the first occurrence of any code mapped to 3-character ICD10 J30. The code corresponds to ""vasomotor and allergic rhinitis"". Note that events which were apparently before birth were omitted when constructing this data field. Coding 819 defines 6 special values: 1900-01-01 represents ""Code has no event date"" 1901-01-01 represents ""Code has event date before participant's date of birth"" 1902-02-02 represents ""Code has event date matching participant's date of birth"" 1903-03-03 represents ""Code has event date after participant's date of birth and falls in the same calendar year as date of birth"" 1909-09-09 represents ""Code has event date in the future and is presumed to be a place-holder or other system default"" 2037-07-07 represents ""Code has event date in the future and is presumed to be a place-holder or other system default""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131464,"53,238 items of data are available, covering 53,238 participants.Some values have special meanings defined by Data-Coding 819."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131465,Source of report of J30 (vasomotor and allergic rhinitis),J30（血管运动性和变应性鼻炎）的报告来源,首次映射到3位ICD10编码J30的报告来源，以及该编码是否出现在其他来源中（相同或更晚的事件日期）。该编码对应'血管运动性和变应性鼻炎'。关于如何分配首次来源的详细信息，请参阅资源593。,53238.0,53238.0,Ongoing,Categorical single,,Data,Derived,Both sexes,Singular,No,2171.0,"Source of the first code mapped to 3-character ICD10 J30, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""vasomotor and allergic rhinitis"". See Resource 593 for details of how the first source was assigned.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131465,"53,238 items of data are available, covering 53,238 participants, encoded using Data-Coding 2171."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131466,"Date J31 first reported (chronic rhinitis, nasopharyngitis and pharyngitis)",J31（慢性鼻炎、鼻咽炎和咽炎）首次报告日期,首次出现映射到3位ICD10编码J31的日期。该编码对应'慢性鼻炎、鼻咽炎和咽炎'。注意：构建此数据字段时，明显早于出生日期的事件已被省略。编码819定义了6个特殊值：1900-01-01表示'编码无事件日期'；1901-01-01表示'编码事件日期早于参与者出生日期'；1902-02-02表示'编码事件日期与参与者出生日期相同'；1903-03-03表示'编码事件日期晚于出生日期且与出生年份相同'；1909-09-09表示'编码事件日期在未来，推测为占位符或系统默认值'；2037-07-07表示'编码事件日期在未来，推测为占位符或系统默认值'。,7156.0,7156.0,Ongoing,Date,,Data,Derived,Both sexes,Singular,No,819.0,"Date of the first occurrence of any code mapped to 3-character ICD10 J31. The code corresponds to ""chronic rhinitis, nasopharyngitis and pharyngitis"". Note that events which were apparently before birth were omitted when constructing this data field. Coding 819 defines 6 special values: 1900-01-01 represents ""Code has no event date"" 1901-01-01 represents ""Code has event date before participant's date of birth"" 1902-02-02 represents ""Code has event date matching participant's date of birth"" 1903-03-03 represents ""Code has event date after participant's date of birth and falls in the same calendar year as date of birth"" 1909-09-09 represents ""Code has event date in the future and is presumed to be a place-holder or other system default"" 2037-07-07 represents ""Code has event date in the future and is presumed to be a place-holder or other system default""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131466,"7,156 items of data are available, covering 7,156 participants.Some values have special meanings defined by Data-Coding 819."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131467,"Source of report of J31 (chronic rhinitis, nasopharyngitis and pharyngitis)",J31（慢性鼻炎、鼻咽炎和咽炎）的报告来源,首次映射到3位ICD10编码J31的报告来源，以及该编码是否出现在其他来源中（相同或更晚的事件日期）。该编码对应'慢性鼻炎、鼻咽炎和咽炎'。关于如何分配首次来源的详细信息，请参阅资源593。,7156.0,7156.0,Ongoing,Categorical single,,Data,Derived,Both sexes,Singular,No,2171.0,"Source of the first code mapped to 3-character ICD10 J31, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""chronic rhinitis, nasopharyngitis and pharyngitis"". See Resource 593 for details of how the first source was assigned.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131467,"7,156 items of data are available, covering 7,156 participants, encoded using Data-Coding 2171."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131468,Date J32 first reported (chronic sinusitis),J32（慢性鼻窦炎）首次报告日期,首次出现映射到3位ICD10编码J32的日期。该编码对应'慢性鼻窦炎'。注意：构建此数据字段时，明显早于出生日期的事件已被省略。编码819定义了6个特殊值（含义同字段131466）。,14114.0,14114.0,Ongoing,Date,,Data,Derived,Both sexes,Singular,No,819.0,"Date of the first occurrence of any code mapped to 3-character ICD10 J32. The code corresponds to ""chronic sinusitis"". Note that events which were apparently before birth were omitted when constructing this data field. Coding 819 defines 6 special values: 1900-01-01 represents ""Code has no event date"" 1901-01-01 represents ""Code has event date before participant's date of birth"" 1902-02-02 represents ""Code has event date matching participant's date of birth"" 1903-03-03 represents ""Code has event date after participant's date of birth and falls in the same calendar year as date of birth"" 1909-09-09 represents ""Code has event date in the future and is presumed to be a place-holder or other system default"" 2037-07-07 represents ""Code has event date in the future and is presumed to be a place-holder or other system default""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131468,"14,114 items of data are available, covering 14,114 participants.Some values have special meanings defined by Data-Coding 819."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131469,Source of report of J32 (chronic sinusitis),J32（慢性鼻窦炎）的报告来源,首次映射到3位ICD10编码J32的报告来源，以及该编码是否出现在其他来源中（相同或更晚的事件日期）。该编码对应'慢性鼻窦炎'。关于如何分配首次来源的详细信息，请参阅资源593。,14114.0,14114.0,Ongoing,Categorical single,,Data,Derived,Both sexes,Singular,No,2171.0,"Source of the first code mapped to 3-character ICD10 J32, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""chronic sinusitis"". See Resource 593 for details of how the first source was assigned.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131469,"14,114 items of data are available, covering 14,114 participants, encoded using Data-Coding 2171."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131470,Date J33 first reported (nasal polyp),J33（鼻息肉）首次报告日期,首次出现映射到3位ICD10编码J33的日期。该编码对应'鼻息肉'。注意：构建此数据字段时，明显早于出生日期的事件已被省略。编码819定义了6个特殊值（含义同字段131466）。,8031.0,8031.0,Ongoing,Date,,Data,Derived,Both sexes,Singular,No,819.0,"Date of the first occurrence of any code mapped to 3-character ICD10 J33. The code corresponds to ""nasal polyp"". Note that events which were apparently before birth were omitted when constructing this data field. Coding 819 defines 6 special values: 1900-01-01 represents ""Code has no event date"" 1901-01-01 represents ""Code has event date before participant's date of birth"" 1902-02-02 represents ""Code has event date matching participant's date of birth"" 1903-03-03 represents ""Code has event date after participant's date of birth and falls in the same calendar year as date of birth"" 1909-09-09 represents ""Code has event date in the future and is presumed to be a place-holder or other system default"" 2037-07-07 represents ""Code has event date in the future and is presumed to be a place-holder or other system default""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131470,"8,031 items of data are available, covering 8,031 participants.Some values have special meanings defined by Data-Coding 819."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131471,Source of report of J33 (nasal polyp),J33（鼻息肉）的报告来源,首次映射到3位ICD10编码J33的报告来源，以及该编码是否出现在其他来源中（相同或更晚的事件日期）。该编码对应'鼻息肉'。关于如何分配首次来源的详细信息，请参阅资源593。,8031.0,8031.0,Ongoing,Categorical single,,Data,Derived,Both sexes,Singular,No,2171.0,"Source of the first code mapped to 3-character ICD10 J33, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""nasal polyp"". See Resource 593 for details of how the first source was assigned.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131471,"8,031 items of data are available, covering 8,031 participants, encoded using Data-Coding 2171."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131472,Date J34 first reported (other disorders of nose and nasal sinuses),J34（鼻和鼻窦其他疾病）首次报告日期,首次出现映射到3位ICD10编码J34的日期。该编码对应'鼻和鼻窦其他疾病'。注意：构建此数据字段时，明显早于出生日期的事件已被省略。编码819定义了6个特殊值（含义同字段131466）。,18777.0,18777.0,Ongoing,Date,,Data,Derived,Both sexes,Singular,No,819.0,"Date of the first occurrence of any code mapped to 3-character ICD10 J34. The code corresponds to ""other disorders of nose and nasal sinuses"". Note that events which were apparently before birth were omitted when constructing this data field. Coding 819 defines 6 special values: 1900-01-01 represents ""Code has no event date"" 1901-01-01 represents ""Code has event date before participant's date of birth"" 1902-02-02 represents ""Code has event date matching participant's date of birth"" 1903-03-03 represents ""Code has event date after participant's date of birth and falls in the same calendar year as date of birth"" 1909-09-09 represents ""Code has event date in the future and is presumed to be a place-holder or other system default"" 2037-07-07 represents ""Code has event date in the future and is presumed to be a place-holder or other system default""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131472,"18,777 items of data are available, covering 18,777 participants.Some values have special meanings defined by Data-Coding 819."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131473,Source of report of J34 (other disorders of nose and nasal sinuses),J34编码报告来源（鼻及鼻窦其他疾病）,首次映射到3位ICD10编码J34的报告来源，以及该编码是否出现在其他来源中（相同或更晚的事件日期）。该编码对应'鼻及鼻窦其他疾病'。关于首次来源分配方式详见资源593。,18777.0,18777.0,Ongoing,Categorical single,,Data,Derived,Both sexes,Singular,No,2171.0,"Source of the first code mapped to 3-character ICD10 J34, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""other disorders of nose and nasal sinuses"". See Resource 593 for details of how the first source was assigned.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131473,"18,777 items of data are available, covering 18,777 participants, encoded using Data-Coding 2171."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131474,Date J35 first reported (chronic diseases of tonsils and adenoids),J35首次报告日期（扁桃体和腺样体慢性疾病）,首次出现映射到3位ICD10编码J35的日期。该编码对应'扁桃体和腺样体慢性疾病'。注：构建此字段时已排除明显早于出生日期的记录。编码819定义了6个特殊值：1900-01-01表示'无事件日期'；1901-01-01表示'事件日期早于出生日期'；1902-02-02表示'事件日期与出生日期相同'；1903-03-03表示'事件日期晚于出生日期但在同一年'；1909-09-09和2037-07-07均表示'未来事件日期（系统占位符）'。,2015.0,2015.0,Ongoing,Date,,Data,Derived,Both sexes,Singular,No,819.0,"Date of the first occurrence of any code mapped to 3-character ICD10 J35. The code corresponds to ""chronic diseases of tonsils and adenoids"". Note that events which were apparently before birth were omitted when constructing this data field. Coding 819 defines 6 special values: 1900-01-01 represents ""Code has no event date"" 1901-01-01 represents ""Code has event date before participant's date of birth"" 1902-02-02 represents ""Code has event date matching participant's date of birth"" 1903-03-03 represents ""Code has event date after participant's date of birth and falls in the same calendar year as date of birth"" 1909-09-09 represents ""Code has event date in the future and is presumed to be a place-holder or other system default"" 2037-07-07 represents ""Code has event date in the future and is presumed to be a place-holder or other system default""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131474,"2,015 items of data are available, covering 2,015 participants.Some values have special meanings defined by Data-Coding 819."
Health-related outcomes > First occurrences > Respiratory system disorders,2410.0,131475,Source of report of J35 (chronic diseases of tonsils and adenoids),J35编码报告来源（扁桃体和腺样体慢性疾病）,首次映射到3位ICD10编码J35的报告来源，以及该编码是否出现在其他来源中（相同或更晚的事件日期）。该编码对应'扁桃体和腺样体慢性疾病'。关于首次来源分配方式详见资源593。,2015.0,2015.0,Ongoing,Categorical single,,Data,Derived,Both sexes,Singular,No,2171.0,"Source of the first code mapped to 3-character ICD10 J35, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""chronic diseases of tonsils and adenoids"". See Resource 593 for details of how the first source was assigned.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=131475,"2,015 items of data are available, covering 2,015 participants, encoded using Data-Coding 2171."
